index,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Rent Expense Supplemental,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Other Operating Expenses,Selling And Marketing Expense,Otherunder Preferred Stock Dividend,Minority Interests,Gain On Sale Of Security,Net Income Discontinuous Operations,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Average Dilution Earnings,Gain On Sale Of Business,General And Administrative Expense,Other Gand A,Gain On Sale Of Ppe,Write Off,Earnings From Equity Interest,Earnings From Equity Interest Net Of Tax,Other Taxes,Salaries And Wages,Preferred Stock Dividends,Total Other Finance Cost,Depreciation Income Statement,Provision For Doubtful Accounts,Rent And Landing Fees,Excise Taxes,Insurance And Claims,Net Income From Tax Loss Carryforward,Net Income Extraordinary,Securities Amortization,Depletion Income Statement
2022-12-31 00:00:00,-221115205.0,0.163,3288930000.0,1183370000.0,353420000.0,2107695000.0,1932395000.0,1578975000.0,-165145000.0,165145000.0,,2318789795.0,1183370000.0,2337919000.0,,246379000.0,240858000.0,4.69,4.79,1155406000.0,1154792000.0,1183370000.0,1183370000.0,1183370000.0,230460000.0,1413830000.0,-1418415000.0,-61880000.0,-165145000.0,165145000.0,,2997390000.0,230224000.0,,168085000.0,3227614000.0,2107695000.0,5335309000.0,5335309000.0,-1356535000.0,-1356535000.0,,-168029000.0,69493000.0,0.0,70337000.0,26772000.0,,28578000.0,,-1188506000.0,,,,,,614000.0,,168085000.0,168085000.0,-28199000.0,,,,35367000.0,,,,,,,,,,,,
2021-12-31 00:00:00,-183189600.0,0.27,1672406000.0,411778000.0,364555000.0,1981599000.0,993926000.0,629371000.0,-227336000.0,227336000.0,,907068400.0,411778000.0,2204237000.0,,249314000.0,242862000.0,1.61,1.65,401255000.0,400983000.0,411778000.0,411778000.0,411778000.0,-9743000.0,402035000.0,-746831000.0,-68351000.0,-227336000.0,227336000.0,,1376202000.0,222638000.0,,168435000.0,1598840000.0,1981599000.0,3580439000.0,3580439000.0,-678480000.0,-678480000.0,,-28264000.0,98000.0,0.0,21661000.0,23555000.0,,10795000.0,,-650216000.0,,,,,,272000.0,,168435000.0,168435000.0,-6505000.0,,,,30648000.0,,,,,,,,,,,,
2020-12-31 00:00:00,-11659480.0,0.035,261751000.0,-711777000.0,473285000.0,1763293000.0,-71377000.0,-544662000.0,-192667000.0,192667000.0,,-390308480.0,-711777000.0,1979979000.0,,241373000.0,241373000.0,-2.95,-2.95,-711777000.0,-711777000.0,-711777000.0,-711777000.0,-711777000.0,-25552000.0,-737329000.0,-345669000.0,-12541000.0,-192667000.0,192667000.0,,-198993000.0,216686000.0,,158383000.0,17693000.0,1763293000.0,1780986000.0,1780986000.0,-333128000.0,-333128000.0,,-520839000.0,-14068000.0,78955000.0,547409000.0,32654000.0,,0.0,,187711000.0,,,,,,0.0,,158383000.0,158383000.0,91457000.0,,,,25649000.0,,,,,,,,,,,,
Symbol,RRC,RRC,RRC,RRC,RRC,RRC,RRC,RRC,RRC,RRC,,RRC,RRC,RRC,,RRC,RRC,RRC,RRC,RRC,RRC,RRC,RRC,RRC,RRC,RRC,RRC,RRC,RRC,RRC,,RRC,RRC,,RRC,RRC,RRC,RRC,RRC,RRC,RRC,,RRC,RRC,RRC,RRC,RRC,,RRC,,RRC,,,,,,RRC,,RRC,RRC,RRC,,,,RRC,,,,,,,,,,,,
2023-12-31 00:00:00,-14238000.0,0.21,4366800000.0,1731000000.0,1599300000.0,8844300000.0,4299000000.0,2699700000.0,-501700000.0,508200000.0,6500000.0,1784562000.0,1731000000.0,12116700000.0,2780200000.0,316700000.0,316200000.0,5.47,5.47,1731000000.0,1731000000.0,1731000000.0,1731400000.0,1731400000.0,460100000.0,2191500000.0,-154600000.0,7500000.0,-501700000.0,508200000.0,6500000.0,2847800000.0,3174500000.0,,1522000000.0,6022300000.0,8942200000.0,14964500000.0,14322600000.0,-67800000.0,-67800000.0,,-67800000.0,4700000.0,,66700000.0,97900000.0,,,-400000.0,,,1501400000.0,1030500000.0,133000000.0,133000000.0,,3600000.0,1522000000.0,471600000.0,,,-94300000.0,,,1050400000.0,,,897500000.0,53200000.0,,,,,,,470900000.0
2022-12-31 00:00:00,-18066800.0,0.188,3764400000.0,1487600000.0,1441200000.0,8115400000.0,3668300000.0,2227100000.0,-392300000.0,395600000.0,3300000.0,1565633200.0,1487600000.0,11023500000.0,2391700000.0,317100000.0,316500000.0,4.69,4.7,1487600000.0,1487600000.0,1487600000.0,1487600000.0,1487600000.0,343900000.0,1831500000.0,-264000000.0,-2300000.0,-392300000.0,395600000.0,3300000.0,2487800000.0,2818500000.0,,1335800000.0,5306300000.0,8205000000.0,13511300000.0,12826000000.0,-96100000.0,-96100000.0,,-96100000.0,-1600000.0,,104000000.0,89600000.0,,,0.0,,,1351600000.0,917900000.0,106000000.0,106000000.0,,6300000.0,1335800000.0,397900000.0,,,-165600000.0,,,937900000.0,,,811900000.0,41500000.0,,,,,,,433700000.0
2021-12-31 00:00:00,-3078000.0,0.18,3175000000.0,1290400000.0,1268200000.0,6655000000.0,3157900000.0,1889700000.0,-312100000.0,314600000.0,2500000.0,1304422000.0,1290400000.0,9201700000.0,2076200000.0,319400000.0,318800000.0,4.04,4.05,1290400000.0,1290400000.0,1290400000.0,1292300000.0,1292300000.0,282800000.0,1575100000.0,-206100000.0,-500000.0,-312100000.0,314600000.0,2500000.0,2093300000.0,2464000000.0,,1195800000.0,4557300000.0,6737700000.0,11295000000.0,10600500000.0,-17100000.0,-17100000.0,,-17100000.0,,,16600000.0,82700000.0,,,-1900000.0,,,1185500000.0,808000000.0,73800000.0,73800000.0,,-500000.0,1175900000.0,309500000.0,,,-188500000.0,,,866400000.0,,,734200000.0,19900000.0,,,,,,,377500000.0
2020-12-31 00:00:00,-35583200.0,0.152,2891200000.0,967200000.0,1158800000.0,6017600000.0,2657100000.0,1498300000.0,-350400000.0,355600000.0,5200000.0,1165716800.0,967200000.0,8312300000.0,1709100000.0,319836000.0,319282000.0,3.02,3.03,967200000.0,967200000.0,967200000.0,969600000.0,969600000.0,173100000.0,1142700000.0,-348200000.0,4100000.0,-350400000.0,355600000.0,5200000.0,1841300000.0,2211800000.0,,1025200000.0,4053100000.0,6100500000.0,10153600000.0,9627000000.0,-234100000.0,-234100000.0,,-234100000.0,136400000.0,,20000000.0,82900000.0,,,-2400000.0,,,1075900000.0,752900000.0,60000000.0,60000000.0,,-77700000.0,1025200000.0,284700000.0,,,-118200000.0,,,740500000.0,,,692900000.0,27800000.0,,,,,,,323000000.0
Symbol,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,RSG,,RSG,RSG,RSG,RSG,RSG,RSG,RSG,,RSG,RSG,,RSG,RSG,,,RSG,,,RSG,RSG,RSG,RSG,,RSG,RSG,RSG,,,RSG,,,RSG,,,RSG,RSG,,,,,,,RSG
Symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
